Site.Name	Latitude	Longitude	Observation.Date	Number.Twinevine.Plants	Number.Carolina.Willow.Plants	Number.Queen.Adults	Number.Viceroy.Adults
Corkscrew	26.361423	-81.518688	3-Jul-02	60	39	36	19
Lehigh Acres	26.559808	-81.677623	3-Jul-02	67	44	34	13
Cornwell	27.396333	-81.119833	4-Jul-02	52	47	49	16
Lake Istokpoga	27.296392	-81.296007	4-Jul-02	59	41	37	21
Leesburg	28.787667	-81.894667	5-Jul-02	2	47	0	33
Gainesville	29.6365	-82.2	5-Jul-02	0	43	0	29
Jena	29.666833	-83.184833	6-Jul-02	0	46	0	35
Cedar Key	29.2135	-83.021333	6-Jul-02	0	37	0	26
Corkscrew	26.361423	-81.518688	11-Aug-02	60	39	44	15
Lehigh Acres	26.559808	-81.677623	11-Aug-02	67	44	37	20
Cornwell	27.396333	-81.119833	12-Aug-02	52	47	56	27
Lake Istokpoga	27.296392	-81.296007	12-Aug-02	59	41	43	14
Leesburg	28.787667	-81.894667	13-Aug-02	2	47	0	34
Gainesville	29.6365	-82.2	13-Aug-02	0	43	0	36
Jena	29.666833	-83.184833	14-Aug-02	0	46	0	40
Cedar Key	29.2135	-83.021333	14-Aug-02	0	37	0	33
Corkscrew	26.361423	-81.518688	30-Sep-02	60	39	36	19
Lehigh Acres	26.559808	-81.677623	30-Sep-02	67	42	32	14
Cornwell	27.396333	-81.119833	1-Oct-02	52	47	44	22
Lake Istokpoga	27.296392	-81.296007	1-Oct-02	58	41	41	17
Leesburg	28.787667	-81.894667	2-Oct-02	1	47	4	29
Gainesville	29.6365	-82.2	2-Oct-02	0	43	0	24
Jena	29.666833	-83.184833	3-Oct-02	0	46	0	26
Cedar Key	29.2135	-83.021333	3-Oct-02	0	37	0	27
Corkscrew	26.361423	-81.518688	1-Jul-03	62	40	41	11
Lehigh Acres	26.559808	-81.677623	1-Jul-03	55	44	34	17
Cornwell	27.396333	-81.119833	2-Jul-03	58	47	39	19
Lake Istokpoga	27.296392	-81.296007	2-Jul-03	53	41	36	16
Leesburg	28.787667	-81.894667	3-Jul-03	3	47	1	21
Gainesville	29.6365	-82.2	3-Jul-03	1	43	0	29
Jena	29.666833	-83.184833	4-Jul-03	0	46	0	31
Cedar Key	29.2135	-83.021333	4-Jul-03	0	37	0	24
Corkscrew	26.361423	-81.518688	10-Aug-03	62	40	34	15
Lehigh Acres	26.559808	-81.677623	10-Aug-03	55	44	29	9
Cornwell	27.396333	-81.119833	11-Aug-03	58	47	42	20
Lake Istokpoga	27.296392	-81.296007	11-Aug-03	53	41	39	18
Leesburg	28.787667	-81.894667	12-Aug-03	3	47	0	22
Gainesville	29.6365	-82.2	12-Aug-03	1	43	0	24
Jena	29.666833	-83.184833	13-Aug-03	0	46	0	33
Cedar Key	29.2135	-83.021333	13-Aug-03	0	37	0	27
Corkscrew	26.361423	-81.518688	29-Sep-03	62	40	36	18
Lehigh Acres	26.559808	-81.677623	29-Sep-03	55	44	24	10
Cornwell	27.396333	-81.119833	30-Sep-03	58	47	45	19
Lake Istokpoga	27.296392	-81.296007	30-Sep-03	53	41	33	14
Leesburg	28.787667	-81.894667	1-Oct-03	3	47	0	26
Gainesville	29.6365	-82.2	1-Oct-03	1	43	0	30
Jena	29.666833	-83.184833	2-Oct-03	0	46	0	34
Cedar Key	29.2135	-83.021333	2-Oct-03	0	37	0	25
Corkscrew	26.361423	-81.518688	1-Jul-04	64	40	38	16
Lehigh Acres	26.559808	-81.677623	1-Jul-04	52	44	26	11
Cornwell	27.396333	-81.119833	2-Jul-04	60	47	42	19
Lake Istokpoga	27.296392	-81.296007	2-Jul-04	55	41	39	15
Leesburg	28.787667	-81.894667	3-Jul-04	2	47	0	27
Gainesville	29.6365	-82.2	3-Jul-04	0	43	0	29
Jena	29.666833	-83.184833	4-Jul-04	0	46	0	33
Cedar Key	29.2135	-83.021333	4-Jul-04	0	37	0	31
Corkscrew	26.361423	-81.518688	8-Aug-04	64	40	42	22
Lehigh Acres	26.559808	-81.677623	8-Aug-04	52	44	21	17
Cornwell	27.396333	-81.119833	9-Aug-04	60	47	49	23
Lake Istokpoga	27.296392	-81.296007	9-Aug-04	55	41	43	15
Leesburg	28.787667	-81.894667	10-Aug-04	2	47	0	20
Gainesville	29.6365	-82.2	10-Aug-04	0	43	0	26
Jena	29.666833	-83.184833	11-Aug-04	0	46	1	37
Cedar Key	29.2135	-83.021333	11-Aug-04	0	37	0	34
Corkscrew	26.361423	-81.518688	21-Sep-04	64	40	40	16
Lehigh Acres	26.559808	-81.677623	21-Sep-04	52	44	24	11
Cornwell	27.396333	-81.119833	22-Sep-04	60	47	55	19
Lake Istokpoga	27.296392	-81.296007	22-Sep-04	55	41	49	18
Leesburg	28.787667	-81.894667	23-Sep-04	2	47	1	24
Gainesville	29.6365	-82.2	23-Sep-04	0	43	0	26
Jena	29.666833	-83.184833	24-Sep-04	0	46	3	35
Cedar Key	29.2135	-83.021333	24-Sep-04	0	37	0	30

