Site.Name	Latitude	Longitude	Collection.Date	Species	Sex	Total.Phenolics	Salicin	Salicortin	Tremulacin
Corkscrew	26.361423	-81.518688	2003-07-01	Willow	NA	62.8	5.5	22.2	35.1
Corkscrew	26.361423	-81.518688	2003-08-10	Willow	NA	55.3	4.2	18.8	32.3
Corkscrew	26.361423	-81.518688	2003-07-01	Willow	NA	38.1	1.7	16.5	19.9
Corkscrew	26.361423	-81.518688	2003-08-10	Willow	NA	57.3	4.6	14.9	37.8
Lehigh Acres	26.559808	-81.677623	2003-07-01	Willow	NA	41.3	2.9	12.9	25.5
Lehigh Acres	26.559808	-81.677623	2003-08-10	Willow	NA	80.3	6.1	21.5	52.7
Lehigh Acres	26.559808	-81.677623	2003-07-01	Willow	NA	49	3.4	16.7	28.9
Lehigh Acres	26.559808	-81.677623	2003-08-10	Willow	NA	54.3	5.8	18.4	30.1
Cornwell	27.396333	-81.119833	2003-07-02	Willow	NA	60.2	5.3	19.1	35.8
Cornwell	27.396333	-81.119833	2003-08-11	Willow	NA	45.7	3	15.3	27.4
Cornwell	27.396333	-81.119833	2003-07-02	Willow	NA	52.6	3.9	17.3	31.4
Cornwell	27.396333	-81.119833	2003-08-11	Willow	NA	44.2	2.6	14.8	26.8
Lake Istokpoga	27.296392	-81.296007	2003-07-02	Willow	NA	33.2	2.3	13.6	17.3
Lake Istokpoga	27.296392	-81.296007	2003-08-11	Willow	NA	67.9	5.6	16.9	45.4
Lake Istokpoga	27.296392	-81.296007	2003-07-02	Willow	NA	49.6	3.9	17.7	28
Lake Istokpoga	27.296392	-81.296007	2003-08-11	Willow	NA	49.4	4.1	14.4	30.9
Leesburg	28.787667	-81.894667	2003-07-03	Willow	NA	66.8	6.2	22	38.6
Leesburg	28.787667	-81.894667	2003-08-12	Willow	NA	52.5	4	18.4	30.1
Leesburg	28.787667	-81.894667	2003-07-03	Willow	NA	34	1.9	12.8	19.3
Leesburg	28.787667	-81.894667	2003-08-12	Willow	NA	46.8	3.7	15.7	27.4
Gainesville	29.6365	-82.2	2003-07-03	Willow	NA	62.6	4.8	19.2	38.6
Gainesville	29.6365	-82.2	2003-08-12	Willow	NA	85.9	6.2	29.4	50.3
Gainesville	29.6365	-82.2	2003-07-03	Willow	NA	41.3	2.7	14.4	24.2
Gainesville	29.6365	-82.2	2003-08-12	Willow	NA	45.2	3	15.7	26.5
Jena	29.666833	-83.184833	2003-07-04	Willow	NA	33.9	3.8	13.9	16.2
Jena	29.666833	-83.184833	2003-08-13	Willow	NA	56.1	4.5	21.1	30.5
Jena	29.666833	-83.184833	2003-07-04	Willow	NA	35.5	2.1	13.9	19.5
Jena	29.666833	-83.184833	2003-08-13	Willow	NA	56.3	4.3	16.2	35.8
Cedar Key	29.2135	-83.021333	2003-07-04	Willow	NA	63	5.5	18.4	39.1
Cedar Key	29.2135	-83.021333	2003-08-13	Willow	NA	38.2	2.7	12.9	22.6
Cedar Key	29.2135	-83.021333	2003-07-04	Willow	NA	55	4.2	15.5	35.3
Cedar Key	29.2135	-83.021333	2003-08-13	Willow	NA	42.2	2.9	13.6	25.7
Corkscrew	26.361423	-81.518688	2004-07-01	Willow	NA	55.8	6.4	18.3	51.5
Corkscrew	26.361423	-81.518688	2004-08-08	Willow	NA	61.5	4.1	20.9	37.7
Corkscrew	26.361423	-81.518688	2004-07-01	Willow	NA	54.6	3.7	21.1	33.8
Corkscrew	26.361423	-81.518688	2004-08-08	Willow	NA	45.8	5.9	14.9	42
Lehigh Acres	26.559808	-81.677623	2004-07-01	Willow	NA	68.5	5.5	30.3	49.1
Lehigh Acres	26.559808	-81.677623	2004-08-08	Willow	NA	48.6	2.1	17.1	29.4
Lehigh Acres	26.559808	-81.677623	2004-07-01	Willow	NA	68.8	2.9	18.4	37.5
Lehigh Acres	26.559808	-81.677623	2004-08-08	Willow	NA	71.1	1.3	13.6	16.2
Cornwell	27.396333	-81.119833	2004-07-02	Willow	NA	65.3	4.7	24.1	36.2
Cornwell	27.396333	-81.119833	2004-08-09	Willow	NA	49.3	3	18.9	29.4
Cornwell	27.396333	-81.119833	2004-07-02	Willow	NA	59.2	1.9	15.3	17
Cornwell	27.396333	-81.119833	2004-08-09	Willow	NA	55.9	2.5	22.7	30.7
Lake Istokpoga	27.296392	-81.296007	2004-07-02	Willow	NA	47.3	3.8	14.9	28.6
Lake Istokpoga	27.296392	-81.296007	2004-08-09	Willow	NA	63.4	6	13.2	44.2
Lake Istokpoga	27.296392	-81.296007	2004-07-02	Willow	NA	55.2	5.2	19.7	30.3
