Site.Name	Latitude	Longitude	Collection.Date	Species	Sex	Total.Phenolics	Salicin	Salicortin	Tremulacin	Total.Volatiles	Salicylaldehyde	Benzaldehyde
Corkscrew	26.361423	-81.518688	1-Jul-03	Viceroy	Male	28.4	4.2	11.3	12.9	2.8	0.9	1.9
Corkscrew	26.361423	-81.518688	10-Aug-03	Viceroy	Male	12.7	1.9	4.6	6.2	5.6	3	2.6
Corkscrew	26.361423	-81.518688	1-Jul-03	Viceroy	Female	17.2	2.3	5.6	9.3	8.4	5.4	3
Corkscrew	26.361423	-81.518688	10-Aug-03	Viceroy	Female	9.8	2	3.7	4.1	4.7	2.2	2.5
Lehigh Acres	26.559808	-81.677623	1-Jul-03	Viceroy	Male	15	0.1	6.9	8	5.2	2.7	2.5
Lehigh Acres	26.559808	-81.677623	10-Aug-03	Viceroy	Male	26.8	6	6.1	14.7	5.1	3.4	1.7
Lehigh Acres	26.559808	-81.677623	1-Jul-03	Viceroy	Female	19.6	4.6	2.5	12.5	8	4.1	3.9
Lehigh Acres	26.559808	-81.677623	10-Aug-03	Viceroy	Female	7.9	1.1	1.9	4.9	4	1.8	2.2
Cornwell	27.396333	-81.119833	2-Jul-03	Viceroy	Male	26.4	1.9	10.3	14.2	5.4	1.6	3.8
Cornwell	27.396333	-81.119833	11-Aug-03	Viceroy	Male	13.9	0	5.1	8.8	3	0.9	2.1
Cornwell	27.396333	-81.119833	2-Jul-03	Viceroy	Female	37.1	4.4	15.8	16.9	8	3.5	4.5
Cornwell	27.396333	-81.119833	11-Aug-03	Viceroy	Female	18.5	1.6	4.9	12	5	2.2	2.8
Lake Istokpoga	27.296392	-81.296007	2-Jul-03	Viceroy	Male	17.9	4.2	4.9	8.8	8.2	3.6	4.6
Lake Istokpoga	27.296392	-81.296007	11-Aug-03	Viceroy	Male	14.5	2.9	2.1	9.5	2.2	0.9	1.3
Lake Istokpoga	27.296392	-81.296007	2-Jul-03	Viceroy	Female	3.5	0.4	2	1.1	4.3	1.7	2.6
Lake Istokpoga	27.296392	-81.296007	11-Aug-03	Viceroy	Female	15.2	2.1	5.5	7.6	8.2	4.4	3.8
Leesburg	28.787667	-81.894667	3-Jul-03	Viceroy	Male	44	8.3	5.3	30.4	21	14.8	6.2
Leesburg	28.787667	-81.894667	12-Aug-03	Viceroy	Male	31.9	5.9	5.1	20.9	15.1	9.6	5.5
Leesburg	28.787667	-81.894667	3-Jul-03	Viceroy	Female	38.3	4.9	5.6	27.8	21	13.1	7.9
Leesburg	28.787667	-81.894667	12-Aug-03	Viceroy	Female	46.4	4.1	4.4	37.9	17.3	10.5	6.8
Gainesville	29.6365	-82.2	3-Jul-03	Viceroy	Male	21.3	2.0	6.2	13.1	20.6	13.7	6.9
Gainesville	29.6365	-82.2	12-Aug-03	Viceroy	Male	64.1	5.6	20.1	38.4	13.8	8.8	5.0
Gainesville	29.6365	-82.2	3-Jul-03	Viceroy	Female	40.2	2.8	9.9	27.5	19.5	11.7	7.8
Gainesville	29.6365	-82.2	12-Aug-03	Viceroy	Female	57.9	4.4	16.3	37.2	21.3	14.6	6.7
Jena	29.666833	-83.184833	4-Jul-03	Viceroy	Male	58.1	7.9	18.4	31.8	19.7	12.5	7.2
Jena	29.666833	-83.184833	13-Aug-03	Viceroy	Male	29.7	3.1	10.8	15.8	21.2	15.3	5.9
Jena	29.666833	-83.184833	4-Jul-03	Viceroy	Female	44.9	5.8	4.5	34.6	14.8	10.4	4.4
Jena	29.666833	-83.184833	13-Aug-03	Viceroy	Female	60.5	11	7.6	41.9	20.6	13.8	6.8
Cedar Key	29.2135	-83.021333	4-Jul-03	Viceroy	Male	55.9	5.5	12	38.4	20.4	14.7	5.7
Cedar Key	29.2135	-83.021333	13-Aug-03	Viceroy	Male	42.6	3.8	7.6	31.2	12.7	5.6	7.1
Cedar Key	29.2135	-83.021333	4-Jul-03	Viceroy	Female	45.2	3.3	15.8	26.1	19.9	14.3	5.6
Cedar Key	29.2135	-83.021333	13-Aug-03	Viceroy	Female	58.5	4.8	16.3	37.4	17.8	10.9	6.9
Corkscrew	26.361423	-81.518688	1-Jul-04	Viceroy	Male	26	2.6	7.3	16.1	5.7	2.2	3.5
Corkscrew	26.361423	-81.518688	8-Aug-04	Viceroy	Male	12.8	1.4	4.5	6.9	5.4	2.7	2.7
Corkscrew	26.361423	-81.518688	1-Jul-04	Viceroy	Female	11.7	1.4	4.9	5.4	7.1	1.5	5.6
